epoch,auc,categorical_accuracy,f1_score,loss,precision,recall,val_auc,val_categorical_accuracy,val_f1_score,val_loss,val_precision,val_recall
0,0.8849545121192932,0.7205832600593567,0.710074245929718,7.2823262214660645,0.7490678429603577,0.681247889995575,0.871455729007721,0.7229488492012024,0.7125107049942017,5.322598457336426,0.730434775352478,0.6991676688194275
1,0.9527034759521484,0.8375720381736755,0.8316009044647217,3.075565814971924,0.8637691736221313,0.8019667863845825,0.9719343781471252,0.8763377070426941,0.8750790953636169,2.014352798461914,0.8868613243103027,0.8668252229690552
2,0.9694614410400391,0.8714818358421326,0.8632903695106506,1.427533745765686,0.8921356201171875,0.8385893702507019,0.9800242185592651,0.8917954564094543,0.8854317665100098,0.9753598570823669,0.9014778137207031,0.870392382144928
3,0.9671431183815002,0.8555442690849304,0.8428037762641907,0.9172799587249756,0.8821138143539429,0.8094269037246704,0.9795101881027222,0.8977407813072205,0.8910817503929138,0.7816911339759827,0.903030276298523,0.885850191116333
4,0.9739245772361755,0.8769074082374573,0.8707528710365295,0.6977483034133911,0.8997466564178467,0.8429976105690002,0.9792578220367432,0.9048751592636108,0.9050724506378174,0.6303406357765198,0.9074519276618958,0.8977407813072205
5,0.9795092344284058,0.8972533345222473,0.8874411582946777,0.5626314878463745,0.9142653942108154,0.8714818358421326,0.9871159195899963,0.9060642123222351,0.9065003395080566,0.4869607985019684,0.9236453175544739,0.8917954564094543
6,0.9790942668914795,0.9016615748405457,0.8946243524551392,0.5589121580123901,0.9218077659606934,0.8714818358421326,0.9727988839149475,0.8917954564094543,0.8888270258903503,0.5746836066246033,0.9116915464401245,0.8715814352035522
7,0.9796267151832581,0.9036961793899536,0.8890080451965332,0.5232831239700317,0.9172932505607605,0.8687690496444702,0.9866922497749329,0.8941736221313477,0.8924631476402283,0.46195319294929504,0.9032648205757141,0.8882282972335815
8,0.9828528761863708,0.9097999334335327,0.9036152958869934,0.4950779974460602,0.9290576577186584,0.8792811036109924,0.9844916462898254,0.9024970531463623,0.9026646018028259,0.4618648886680603,0.9050480723381042,0.8953626751899719
9,0.9858608841896057,0.9209901690483093,0.9125111699104309,0.42755842208862305,0.9367267489433289,0.8986096978187561,0.9705963730812073,0.8739596009254456,0.8777438998222351,0.5566849112510681,0.8834951519966125,0.8656361699104309
10,0.976332426071167,0.8928450345993042,0.8855617046356201,0.6208263635635376,0.9118595719337463,0.8630043864250183,0.9614185094833374,0.856123685836792,0.845705509185791,0.7096758484840393,0.8800504803657532,0.8287752866744995
11,0.9835416674613953,0.9101390242576599,0.8994415998458862,0.5076555013656616,0.9275206327438354,0.8765683174133301,0.9848957061767578,0.9179548025131226,0.9210843443870544,0.45653989911079407,0.9273607730865479,0.9108204245567322
12,0.989234209060669,0.9328585863113403,0.922828733921051,0.41556212306022644,0.9446598291397095,0.9087826609611511,0.987938642501831,0.92984539270401,0.9282344579696655,0.3984455466270447,0.9346246719360352,0.9179548025131226
13,0.9932913184165955,0.942014217376709,0.9407198429107666,0.3549940884113312,0.9529944062232971,0.92811119556427,0.990403950214386,0.92984539270401,0.9215072393417358,0.377790629863739,0.9334945678710938,0.9179548025131226
14,0.994040846824646,0.9515089988708496,0.94581538438797,0.32663393020629883,0.9580444097518921,0.9369277954101562,0.990632176399231,0.931034505367279,0.9354240298271179,0.3540623188018799,0.9376499056816101,0.92984539270401
15,0.9928563833236694,0.9481180310249329,0.9473281502723694,0.33103203773498535,0.9558773040771484,0.940318763256073,0.9877442717552185,0.9227110743522644,0.9274501800537109,0.37736305594444275,0.9282296895980835,0.9227110743522644
16,0.9948201179504395,0.9555781483650208,0.9518938064575195,0.2984623908996582,0.9627971053123474,0.9477788805961609,0.9905262589454651,0.9334126114845276,0.9330884218215942,0.3571837544441223,0.9377245306968689,0.931034505367279
17,0.9946730732917786,0.9528653621673584,0.951147198677063,0.2988438010215759,0.9605536460876465,0.9413360357284546,0.9891349077224731,0.9227110743522644,0.9215965270996094,0.3587162494659424,0.9265944361686707,0.915576696395874
18,0.9963558912277222,0.9616819024085999,0.9590399265289307,0.26773953437805176,0.9689548015594482,0.9525262713432312,0.9913016557693481,0.9322235584259033,0.9327309131622314,0.3387014865875244,0.9364508390426636,0.9286563396453857
19,0.9955812096595764,0.9630383253097534,0.963281512260437,0.26718565821647644,0.9678082466125488,0.9582909345626831,0.9917229413986206,0.931034505367279,0.9290840029716492,0.3425295650959015,0.9330143332481384,0.9274672865867615
20,0.9956950545310974,0.9633774161338806,0.9591049551963806,0.26546719670295715,0.9700413346290588,0.9552390575408936,0.9929341673851013,0.9393579363822937,0.9403291344642639,0.314869225025177,0.940334141254425,0.9369797706604004
21,0.9965641498565674,0.9677857160568237,0.9636393785476685,0.25675156712532043,0.9709103107452393,0.9620210528373718,0.9905285239219666,0.9381688237190247,0.9400500655174255,0.33473530411720276,0.9435096383094788,0.9334126114845276
22,0.9971529245376587,0.9694811701774597,0.9671851396560669,0.24616368114948273,0.9729822278022766,0.9647337794303894,0.9891895651817322,0.9274672865867615,0.9285897612571716,0.3485775589942932,0.929425835609436,0.9239001274108887
23,0.9966558814048767,0.9698202610015869,0.968557596206665,0.2467457801103592,0.9729544520378113,0.9637165069580078,0.9920238852500916,0.9286563396453857,0.9285714030265808,0.3322470188140869,0.9318996667861938,0.9274672865867615
24,0.997982382774353,0.9745676517486572,0.9722567200660706,0.2310428023338318,0.9787670969963074,0.9691420793533325,0.9912595152854919,0.9346016645431519,0.9324833750724792,0.3289273977279663,0.9376499056816101,0.92984539270401
