epoch,auc,categorical_accuracy,f1_score,loss,precision,recall,val_auc,val_categorical_accuracy,val_f1_score,val_loss,val_precision,val_recall
0,0.9616818428039551,0.830170750617981,0.8144550919532776,5.210654258728027,0.8744680881500244,0.7798861265182495,0.538649320602417,0.27851709723472595,0.0,3.8863728046417236,0.0,0.0
1,0.9893836379051208,0.9203035831451416,0.920189380645752,2.098726511001587,0.9327812790870667,0.9084440469741821,0.578601598739624,0.2984790802001953,0.0,2.479703903198242,0.0,0.0
2,0.9958122968673706,0.9625236988067627,0.9608999490737915,1.100546956062317,0.9677729606628418,0.9544591903686523,0.6929991841316223,0.4011406898498535,0.037820518016815186,1.8832359313964844,1.0,0.019961977377533913
3,0.9980191588401794,0.9810246825218201,0.9799556136131287,0.6619834899902344,0.982824444770813,0.9772295951843262,0.7519772052764893,0.4543726146221161,0.027363009750843048,1.5805293321609497,0.8333333134651184,0.014258555136620998
4,0.9984686970710754,0.9867172837257385,0.9870731234550476,0.45157933235168457,0.9895138144493103,0.9848197102546692,0.7807923555374146,0.5066539645195007,0.1557394415140152,1.3867247104644775,0.9019607901573181,0.0874524712562561
5,0.9972997903823853,0.9829221963882446,0.9816542863845825,0.36360907554626465,0.9842632412910461,0.9791271090507507,0.7933607697486877,0.5085551142692566,0.32631897926330566,1.2590051889419556,0.7322580814361572,0.21577946841716766
6,0.998885452747345,0.9928842782974243,0.9926422834396362,0.2738499343395233,0.9938183426856995,0.9914610981941223,0.8058511018753052,0.5617870688438416,0.5308277010917664,1.1730059385299683,0.7333333492279053,0.4182509481906891
7,0.9980042576789856,0.9900379776954651,0.9890373945236206,0.24741287529468536,0.9904852509498596,0.9876660108566284,0.851981520652771,0.624524712562561,0.6278314590454102,1.0379451513290405,0.722017228603363,0.5579847693443298
8,0.9986928105354309,0.9914610981941223,0.9909061193466187,0.21688759326934814,0.9919201731681824,0.9900379776954651,0.909774124622345,0.730988621711731,0.7185661792755127,0.861157238483429,0.7600423097610474,0.6834600567817688
9,0.9994109272956848,0.992409884929657,0.9920782446861267,0.1967526227235794,0.9938124418258667,0.9905123114585876,0.8896551132202148,0.7423954606056213,0.7392206788063049,0.9834088683128357,0.75,0.730038046836853
10,0.9993420243263245,0.9938330054283142,0.99356609582901,0.18052545189857483,0.9942992925643921,0.9928842782974243,0.9309107065200806,0.8269962072372437,0.8207098245620728,0.7552773356437683,0.83203125,0.8098859190940857
11,0.9996044635772705,0.9952561855316162,0.9945211410522461,0.16664378345012665,0.995720386505127,0.9933586120605469,0.9397588968276978,0.8155893683433533,0.8170496821403503,0.7990878820419312,0.8225650787353516,0.8108364939689636
12,0.9979062080383301,0.9895635843276978,0.9897711873054504,0.18434448540210724,0.9909653067588806,0.9886147975921631,0.9260589480400085,0.822243332862854,0.8222765922546387,0.8991433382034302,0.8269230723381042,0.8174905180931091
13,0.9992905259132385,0.9900379776954651,0.9895307421684265,0.17344547808170319,0.991428554058075,0.9876660108566284,0.9588160514831543,0.874524712562561,0.8736472129821777,0.6764029264450073,0.8766730427742004,0.8716729879379272
