epoch,auc,categorical_accuracy,f1_score,loss,precision,recall,val_auc,val_categorical_accuracy,val_f1_score,val_loss,val_precision,val_recall
0,0.9669991731643677,0.8472485542297363,0.8249091506004333,4.247622013092041,0.8852894306182861,0.7907969355583191,0.9624460935592651,0.8764258623123169,0.0,3.090254306793213,0.0,0.0
1,0.9882662892341614,0.9264705777168274,0.9262504577636719,1.5096031427383423,0.9382295608520508,0.9150853753089905,0.9839956760406494,0.8973383903503418,0.0,1.8609727621078491,0.0,0.0
2,0.9961532354354858,0.9634724855422974,0.9611549377441406,0.7166690230369568,0.9673390984535217,0.955407977104187,0.9869546890258789,0.9049429893493652,0.0,1.432916283607483,0.0,0.0
3,0.9971567392349243,0.9677419066429138,0.967129647731781,0.45374149084091187,0.9735704064369202,0.9611005783081055,0.9845003485679626,0.9077946543693542,0.0,1.2075512409210205,0.0,0.0
4,0.9988149404525757,0.9871916770935059,0.9880501627922058,0.30437636375427246,0.9904671311378479,0.9857684969902039,0.9894176721572876,0.9192014932632446,0.02139963209629059,0.9837620854377747,1.0,0.011406844481825829
5,0.9991211295127869,0.9933586120605469,0.9935316443443298,0.23874206840991974,0.9947693943977356,0.992409884929657,0.9724211096763611,0.9039924144744873,0.7532966732978821,0.8345658779144287,0.9536231756210327,0.625475287437439
6,0.9995183944702148,0.9947817921638489,0.9928526282310486,0.21490786969661713,0.9947618842124939,0.990986704826355,0.9856020212173462,0.9268060922622681,0.9147036075592041,0.6217441558837891,0.9564766883850098,0.8773764371871948
7,0.9997474551200867,0.9928842782974243,0.9923864603042603,0.19691899418830872,0.9938154220581055,0.990986704826355,0.9881668090820312,0.9258555173873901,0.9181848764419556,0.5040792226791382,0.9483282566070557,0.8897338509559631
8,0.9996587038040161,0.992409884929657,0.991905689239502,0.18783091008663177,0.9933396577835083,0.9905123114585876,0.9877234697341919,0.9230037927627563,0.9210729598999023,0.4156389832496643,0.9336585402488708,0.9096958041191101
9,0.9999817609786987,0.9957305788993835,0.9957085847854614,0.16829927265644073,0.9971455931663513,0.9943073987960815,0.9800237417221069,0.9287072420120239,0.9239512085914612,0.3815727233886719,0.9331395626068115,0.9153992533683777
10,0.9997421503067017,0.9962049126625061,0.9961369633674622,0.1626683622598648,0.9966761469841003,0.9957305788993835,0.977332353591919,0.9211026430130005,0.9204065203666687,0.38468775153160095,0.9259615540504456,0.9153992533683777
11,0.9999510049819946,0.9957305788993835,0.9954328536987305,0.1566808968782425,0.9971442222595215,0.9938330054283142,0.9805595278739929,0.9153992533683777,0.9192500710487366,0.37626075744628906,0.9241114258766174,0.9144486784934998
12,0.9996405243873596,0.9943073987960815,0.9945209622383118,0.1579791009426117,0.995720386505127,0.9933586120605469,0.986278772354126,0.9315589070320129,0.9295666813850403,0.347317099571228,0.9337812066078186,0.9249049425125122
13,0.9996708631515503,0.9905123114585876,0.9912066459655762,0.15866880118846893,0.9928605556488037,0.9895635843276978,0.9838223457336426,0.927756667137146,0.9259821772575378,0.37369027733802795,0.9300096035003662,0.9220532178878784
14,0.9994372725486755,0.9952561855316162,0.995490550994873,0.15104930102825165,0.9961995482444763,0.9947817921638489,0.9843018054962158,0.9372623562812805,0.9363275766372681,0.3624936640262604,0.9380362033843994,0.9353612065315247
15,0.9998547434806824,0.9966793060302734,0.9961971044540405,0.13750523328781128,0.9966761469841003,0.9957305788993835,0.9815850853919983,0.9173004031181335,0.9199128150939941,0.3917868435382843,0.9250720739364624,0.9153992533683777
16,0.9999951124191284,0.9971536993980408,0.9973770976066589,0.12747882306575775,0.9980997443199158,0.9966793060302734,0.9858329892158508,0.9268060922622681,0.9239107370376587,0.37360677123069763,0.9263862371444702,0.9211026430130005
17,0.9999993443489075,0.9990512132644653,0.9992860555648804,0.12221456319093704,0.9995253682136536,0.9990512132644653,0.9868326187133789,0.9287072420120239,0.9283609390258789,0.36271917819976807,0.9294566512107849,0.9268060922622681
18,0.9999997019767761,0.9995256066322327,0.9995189905166626,0.11981302499771118,1.0,0.9990512132644653,0.9846845865249634,0.9287072420120239,0.9293680787086487,0.3674750328063965,0.9321223497390747,0.9268060922622681
19,0.9999994039535522,0.9995256066322327,0.9992860555648804,0.1205819621682167,0.9995253682136536,0.9990512132644653,0.9843962788581848,0.9287072420120239,0.9301647543907166,0.36668604612350464,0.9330143332481384,0.9268060922622681
20,0.9999996423721313,0.9995256066322327,0.9992860555648804,0.1191181167960167,0.9995253682136536,0.9990512132644653,0.9854978322982788,0.9306083917617798,0.9305075407028198,0.3640309274196625,0.933078408241272,0.927756667137146
21,0.9999997019767761,0.9995256066322327,0.9992860555648804,0.11851494014263153,0.9995253682136536,0.9990512132644653,0.984667181968689,0.9296578168869019,0.9301647543907166,0.3647003173828125,0.933078408241272,0.927756667137146
22,0.9999998807907104,0.9995256066322327,0.9997595548629761,0.11905477941036224,1.0,0.9995256066322327,0.9853203296661377,0.9296578168869019,0.931515634059906,0.36526909470558167,0.9340344071388245,0.9287072420120239
